Restaurant_ID,Name,City,State,Alcohol_Service,Smoking_Allowed,Price,Franchise,Area,Parking
132560,Puesto de Gorditas,Ciudad Victoria,Tamaulipas,None,Yes,Low,No,Open,Public
132561,Cafe Ambar,Ciudad Victoria,Tamaulipas,None,No,Low,No,Closed,None
132564,Church's,Ciudad Victoria,Tamaulipas,None,No,Low,No,Closed,None
132572,Cafe Chaires,San Luis Potosi,San Luis Potosi,None,No,Low,No,Closed,Yes
132583,McDonalds Centro,Cuernavaca,Morelos,None,No,Low,Yes,Closed,None
132584,Gorditas Doña Tota,Ciudad Victoria,Tamaulipas,None,No,Medium,Yes,Closed,Yes
132594,Tacos De Barbacoa Enfrente Del Tec,Ciudad Victoria,Tamaulipas,None,No,Low,No,Open,Public
132608,Hamburguesas La Perica,Ciudad Victoria,Tamaulipas,None,Yes,Low,Yes,Open,Public
132609,Pollo Frito Buenos Aires,Ciudad Victoria,Tamaulipas,None,No,Low,Yes,Closed,Yes
132613,Carnitas Mata,Ciudad Victoria,Tamaulipas,None,Yes,Medium,Yes,Closed,Yes
132626,La Perica Hamburguesa,Ciudad Victoria,Tamaulipas,None,No,Medium,Yes,Closed,Yes
132630,Palomo Tec,Ciudad Victoria,Tamaulipas,None,No,Low,No,Closed,None
132654,Carnitas Mata  Calle 16 de Septiembre,Ciudad Victoria,Tamaulipas,None,No,Low,No,Closed,None
132660,Carnitas Mata Calle Emilio Portes Gil,Ciudad Victoria,Tamaulipas,None,No,Low,No,Closed,None
132663,Tacos Abi,Ciudad Victoria,Tamaulipas,None,No,Low,No,Closed,None
132665,Tacos Correcaminos,Ciudad Victoria,Tamaulipas,None,No,Low,No,Closed,None
132667,Little Pizza Emilio Portes Gil,Ciudad Victoria,Tamaulipas,None,No,Low,Yes,Closed,None
132668,Tacos El Guero,Ciudad Victoria,Tamaulipas,None,No,Low,No,Closed,None
132706,Gorditas Dona Tota,Ciudad Victoria,Tamaulipas,None,No,Medium,Yes,Closed,Public
132715,Tacos De La Estacion,Ciudad Victoria,Tamaulipas,None,No,Low,No,Open,None
132717,Tortas Hawaii,Ciudad Victoria,Tamaulipas,None,No,Medium,No,Closed,Public
132723,Gordas De Morales,San Luis Potosi,San Luis Potosi,Full Bar,Smoking Section,Medium,No,Closed,Public
132732,Taqueria El Amigo ,Ciudad Victoria,Tamaulipas,None,No,Low,No,Open,None
132733,Little Caesars,Ciudad Victoria,Tamaulipas,None,No,Medium,Yes,Closed,Yes
132740,Carreton De Flautas Y Migadas,Ciudad Victoria,Tamaulipas,None,Yes,Low,No,Open,None
132754,Cabana Huasteca,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
132755,La Estrella De Dimas,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,Public
132766,Mikasa,Cuernavaca,Morelos,Wine & Beer,No,Medium,No,Closed,Yes
132767,Restaurant Familiar El Chino,Jiutepec,Morelos,Wine & Beer,Yes,Medium,No,Open,Yes
132768,Mariscos Tia Licha,Cuernavaca,Morelos,None,No,Medium,Yes,Closed,None
132773,El Cotorreo,Cuernavaca,Morelos,Wine & Beer,Yes,Low,No,Open,None
132825,Puesto De Tacos,San Luis Potosi,San Luis Potosi,None,No,Low,No,Open,None
132830,Rincon Huasteco,San Luis Potosi,San Luis Potosi,None,No,Low,No,Closed,None
132834,Gorditas Doa Gloria,San Luis Potosi,San Luis Potosi,None,No,Low,No,Closed,Public
132845,Cenaduria El Rincón De Tlaquepaque,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
132846,El Lechon Potosino ,San Luis Potosi,San Luis Potosi,None,Yes,Low,No,Open,None
132847,Don Burguers,San Luis Potosi,San Luis Potosi,None,No,Low,No,Open,None
132851,KFC,San Luis Potosi,San Luis Potosi,None,No,Low,No,Closed,Yes
132854,Sirlone,San Luis Potosi,San Luis Potosi,Wine & Beer,No,Medium,No,Closed,Yes
132856,Unicol's Pizza,San Luis Potosi,San Luis Potosi,Wine & Beer,No,Low,No,Closed,None
132858,Hamburguesas Valle Dorado,San Luis Potosi,San Luis Potosi,None,No,Low,No,Closed,None
132861,Carl's Jr,San Luis Potosi,San Luis Potosi,None,No,Medium,Yes,Closed,Yes
132862,La Posada Del Virrey,San Luis Potosi,San Luis Potosi,Wine & Beer,No,High,No,Closed,Valet
132866,Chaires,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,Yes
132869,Dominos Pizza,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,Yes
132870,Tortas Y Hamburguesas El Gordo,San Luis Potosi,San Luis Potosi,None,No,Low,No,Closed,None
132872,Pizzeria Julios,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,Public
132875,Shi Ro Ie,San Luis Potosi,San Luis Potosi,Wine & Beer,Smoking Section,High,Yes,Open,Valet
132877,Sirloin Stockade,San Luis Potosi,San Luis Potosi,None,No,Low,No,Closed,None
132884,Dairy Queen,San Luis Potosi,San Luis Potosi,None,No,Low,No,Closed,None
132885,Hamburguesas Saul,San Luis Potosi,San Luis Potosi,None,No,Low,No,Closed,Public
132921,Crudalia,San Luis Potosi,San Luis Potosi,Wine & Beer,Smoking Section,Low,No,Open,None
132922,Cafe Punta Del Cielo,San Luis Potosi,San Luis Potosi,None,Yes,Medium,No,Closed,None
132925,El Pueblito,San Luis Potosi,San Luis Potosi,Wine & Beer,No,Medium,No,Closed,None
132937,Rockabilly ,San Luis Potosi,San Luis Potosi,Full Bar,Smoking Section,Low,No,Closed,None
132951,Vips,San Luis Potosi,San Luis Potosi,None,No,Low,No,Closed,Yes
132954,La Parroquia,San Luis Potosi,San Luis Potosi,None,No,Medium,Yes,Closed,Yes
132955,Emilianos,San Luis Potosi,San Luis Potosi,Wine & Beer,No,Low,Yes,Closed,None
132958,Tacos Los Volcanes,San Luis Potosi,San Luis Potosi,None,No,Low,Yes,Closed,None
134975,Rincon Del Bife,Cuernavaca,Morelos,Full Bar,Smoking Section,High,No,Closed,Valet
134976,Log Yin,Cuernavaca,Morelos,None,No,Low,No,Closed,Yes
134983,Restaurant And Bar And Clothesline Carlos N Charlies,Cuernavaca,Morelos,Full Bar,Smoking Section,High,No,Closed,Yes
134986,Restaurant Las Mañanitas,Cuernavaca,Morelos,Wine & Beer,No,High,No,Closed,Yes
134987,Chilis Cuernavaca,Cuernavaca,Morelos,Wine & Beer,No,Medium,No,Closed,None
134992,Restaurant Teely,Cuernavaca,Morelos,Wine & Beer,Smoking Section,High,No,Closed,Yes
134996,Sanborns Casa Piedra,Cuernavaca,Morelos,Wine & Beer,Bar Only,Medium,Yes,Closed,Yes
134999,Kiku Cuernavaca,Cuernavaca,Morelos,None,No,Medium,No,Closed,None
135000,Restaurant Los Pinos,Cuernavaca,Morelos,None,No,Medium,No,Closed,None
135001,Vips,Cuernavaca,Morelos,Wine & Beer,No,Medium,Yes,Closed,Yes
135011,Los Vikingos,Cuernavaca,Morelos,None,No,Medium,Yes,Closed,None
135013,Giovannis,Cuernavaca,Morelos,None,No,Low,No,Closed,None
135016,Arrachela Grill,Cuernavaca,Morelos,None,No,Medium,No,Closed,None
135018,El Oceano Dorado,Cuernavaca,Morelos,Full Bar,Yes,Medium,No,Open,Yes
135019,Restaurant Bar Coty Y Pablo,Jiutepec,Morelos,None,No,Low,No,Closed,None
135021,Subway,Cuernavaca,Morelos,None,No,Low,Yes,Closed,Public
135025,El Rincon De San Francisco,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135026,La Cantina,San Luis Potosi,San Luis Potosi,Full Bar,No,High,No,Closed,None
135027,Restaurant Orizatlan,San Luis Potosi,San Luis Potosi,Wine & Beer,No,Medium,No,Closed,None
135028,La Virreina,San Luis Potosi,San Luis Potosi,Wine & Beer,No,Medium,No,Closed,None
135030,Preambulo Wifi Zone Cafe,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135032,Cafeteria Y Restaurant El Pacifico,San Luis Potosi,San Luis Potosi,Wine & Beer,Smoking Section,Medium,No,Closed,Public
135033,Restaurant El Muladar De Calzada,San Luis Potosi,San Luis Potosi,None,Smoking Section,Medium,No,Closed,None
135034,Michiko Restaurant Japones,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135035,El Mundo De La Pasta,San Luis Potosi,San Luis Potosi,None,Smoking Section,High,No,Closed,Yes
135038,Restaurant La Chalita,San Luis Potosi,San Luis Potosi,None,Smoking Section,Medium,No,Closed,None
135039,Restaurant De Mariscos De Picon,San Luis Potosi,San Luis Potosi,None,Smoking Section,Low,No,Closed,Yes
135040,Restaurant Los Compadres,San Luis Potosi,San Luis Potosi,Wine & Beer,No,High,No,Closed,Yes
135041,Luna Cafe,San Luis Potosi,San Luis Potosi,Wine & Beer,No,Medium,No,Closed,None
135042,Restaurant Oriental Express,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135043,Pizza Clasica,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135044,Restaurant Wu Zhuo Yi,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135045,Restaurante La Gran Via,San Luis Potosi,San Luis Potosi,Wine & Beer,No,High,No,Closed,Yes
135046,Restaurante El Reyecito,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,Yes
135047,Restaurante Casa De Las Flores,San Luis Potosi,San Luis Potosi,Wine & Beer,Smoking Section,High,No,Closed,Yes
135048,Restaurante Bar Fu-Hao,San Luis Potosi,San Luis Potosi,Wine & Beer,No,High,No,Closed,Yes
135049,Restaurante De Mariscos La Langosta,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135050,Restaurante La Estrella De Dima,San Luis Potosi,San Luis Potosi,Wine & Beer,No,High,No,Closed,Yes
135051,Restaurante Versalles,San Luis Potosi,San Luis Potosi,None,Smoking Section,Low,No,Closed,None
135052,La Cantina Restaurante,San Luis Potosi,San Luis Potosi,Full Bar,No,High,No,Closed,None
135053,La Fontana Pizza Restaurante And Cafe,San Luis Potosi,San Luis Potosi,None,Smoking Section,High,No,Closed,Yes
135054,Restaurante Y Pescaderia Tampico,San Luis Potosi,San Luis Potosi,None,No,High,No,Closed,Yes
135055,La Cochinita Pibil Restaurante Yucateco,San Luis Potosi,San Luis Potosi,None,Smoking Section,High,No,Closed,Yes
135057,El Herradero Restaurante And Bar,San Luis Potosi,San Luis Potosi,Wine & Beer,Smoking Section,Medium,No,Closed,Yes
135058,Restaurante Tiberius,San Luis Potosi,San Luis Potosi,None,No,Medium,Yes,Closed,Public
135059,Restaurant Bar Hacienda Los Martinez,San Luis Potosi,San Luis Potosi,Wine & Beer,Smoking Section,Medium,No,Closed,Yes
135060,Restaurante Marisco Sam,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135062,Restaurante El Cielo Potosino,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,Yes
135063,Restaurante Alhondiga,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135064,Restaurante El Chivero S.A. De C.V.,San Luis Potosi,San Luis Potosi,None,No,High,No,Closed,Yes
135065,El Angel Restaurante,San Luis Potosi,San Luis Potosi,Wine & Beer,Smoking Section,High,No,Closed,None
135066,Restaurante Guerra,San Luis Potosi,San Luis Potosi,Wine & Beer,Smoking Section,High,No,Closed,Yes
135069,Abondance Restaurante Bar,San Luis Potosi,San Luis Potosi,Wine & Beer,No,Low,No,Closed,Yes
135070,Restaurante 75,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,Yes
135071,Restaurante La Cantina,San Luis Potosi,San Luis Potosi,Full Bar,Smoking Section,Medium,No,Closed,Yes
135072,Sushi Itto,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135073,Restaurante Bar El Gallinero,San Luis Potosi,San Luis Potosi,Wine & Beer,Smoking Section,High,No,Closed,Yes
135074,Restaurante La Parroquia Potosina,San Luis Potosi,San Luis Potosi,Wine & Beer,Smoking Section,High,No,Closed,Public
135075,Mariscos El Pescador,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,Yes
135076,Restaurante Pueblo Bonito,San Luis Potosi,San Luis Potosi,Wine & Beer,No,High,No,Closed,Yes
135079,Koye Sushi,San Luis Potosi,San Luis Potosi,None,No,High,No,Closed,None
135080,Los Toneles,San Luis Potosi,San Luis Potosi,None,Smoking Section,High,No,Closed,None
135081,El Club,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135082,La Estrella De Dimas,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,None
135085,Tortas Locas Hipocampo,San Luis Potosi,San Luis Potosi,None,No,Medium,No,Closed,Public
135086,McDonalds Parque Tangamanga,San Luis Potosi,San Luis Potosi,None,No,Medium,Yes,Closed,Yes
135088,Cafeteria Cenidet,Cuernavaca,Morelos,None,No,Low,No,Closed,Public
135104,Vips,Ciudad Victoria,Tamaulipas,Full Bar,No,Medium,Yes,Closed,Yes
135106,El Rincón De San Francisco,San Luis Potosi,San Luis Potosi,Wine & Beer,Bar Only,Medium,No,Open,None
135108,Potzocalli,San Luis Potosi,San Luis Potosi,None,No,Low,No,Closed,None
135109,Paniroles,Cuernavaca,Morelos,Wine & Beer,No,Medium,No,Closed,None
